"[0] CarFuelTypeComparatorLevenshtein","[1] CarModelComparatorLevenshtein","[2] CarModelComparatorMaximumTokenContainment","[3] CarModelComparatorTokenizingJaccard","[4] CarModelComparatorLevenshtein","[5] CarTransmissionComparatorLevenshtein","label"
"1.0","0.7857142857142857","0.5","0.3333333333333333","0.7857142857142857","0.5","1"
"0.1875","0.19999999999999996","0.0","0.0","0.19999999999999996","0.5","0"
"0.25","0.7","1.0","0.3333333333333333","0.7","0.5","1"
"0.25","0.5384615384615384","1.0","0.3333333333333333","0.5384615384615384","0.6","1"
"0.16666666666666663","1.0","1.0","1.0","1.0","0.5","0"
"0.16666666666666663","1.0","1.0","1.0","1.0","0.5","0"
"1.0","0.3571428571428571","1.0","0.5","0.3571428571428571","0.2142857142857143","1"
"1.0","0.5714285714285714","0.5","0.3333333333333333","0.5714285714285714","0.5","1"
"0.16666666666666663","1.0","1.0","1.0","1.0","0.5","0"
"1.0","0.5714285714285714","0.5","0.3333333333333333","0.5714285714285714","0.5","1"
"1.0","0.5714285714285714","0.5","0.3333333333333333","0.5714285714285714","0.5","1"
"0.25","0.4","0.0","0.0","0.4","0.5","0"
"1.0","0.5","0.5","0.3333333333333333","0.5","0.5","1"
"1.0","0.631578947368421","0.5","0.3333333333333333","0.631578947368421","0.5","1"
"1.0","0.631578947368421","0.5","0.3333333333333333","0.631578947368421","0.5","1"
"1.0","0.368421052631579","1.0","0.5","0.368421052631579","0.5","1"
"0.25","0.4285714285714286","0.5","0.2","0.4285714285714286","0.5","1"
"0.25","0.34782608695652173","0.4","0.2222222222222222","0.34782608695652173","0.5294117647058824","1"
"0.1875","0.1428571428571429","0.0","0.0","0.1428571428571429","0.6","0"
"0.25","0.43999999999999995","1.0","0.375","0.43999999999999995","0.5","1"
"1.0","0.6","1.0","0.6666666666666666","0.6","0.6428571428571428","1"
"0.09999999999999998","0.2727272727272727","1.0","0.25","0.2727272727272727","0.6","1"
"0.25","0.25806451612903225","0.5","0.14285714285714285","0.25806451612903225","0.16666666666666663","1"
"0.25","0.25806451612903225","0.5","0.14285714285714285","0.25806451612903225","0.6428571428571428","1"
"0.16666666666666663","0.4117647058823529","1.0","0.5","0.4117647058823529","0.5","0"
"0.16666666666666663","1.0","1.0","1.0","1.0","0.5","0"
"1.0","0.5","0.5","0.3333333333333333","0.5","0.5","1"
"0.25","0.6363636363636364","1.0","0.3333333333333333","0.6363636363636364","0.5","0"
"0.25","0.5","1.0","0.5","0.5","0.5","1"
"0.125","0.5","1.0","0.5","0.5","0.5","0"
"1.0","0.5714285714285714","0.5","0.3333333333333333","0.5714285714285714","0.5","1"
"1.0","0.5714285714285714","0.5","0.3333333333333333","0.5714285714285714","0.5","1"
"0.25","0.09090909090909094","1.0","0.25","0.09090909090909094","0.6428571428571428","1"
"0.25","0.6923076923076923","1.0","0.3333333333333333","0.6923076923076923","0.5","1"
